450748.8097757668	469512.2784499397	446838.7825690912	496800.72679189616	517763.4772012197	483897.6947543143	481853.6804757057	414009.3268656875	341935.21473099105	404314.56054418656	409029.5484372182	569720.9136136684	493632.34828467143	404459.47723411146
356568.4807710907	445618.4041220133	368109.7074031081	465865.1063567263	323893.70599078893	350030.69947485765	398237.8169447574	343575.7184375866	297973.39680609864	369692.31459997897	342909.49983313034	426866.74159333867	352695.5809751332	349812.61164933076
348430.74029917864	445618.4041220133	289842.88383536873	421212.78197501437	280882.96100326517	350030.69947485765	356942.4559732339	299911.1778598232	293456.67663185124	336012.24096616486	316572.01368128514	384947.96660962474	329501.7780948952	316597.6112548501
308631.7522454598	382799.3051505855	281283.53625220864	277279.99085344345	232858.99296953017	274770.52515099675	237153.44822886755	272710.3686920861	234395.1741312781	270013.19704862393	306731.9052159191	372936.6345402918	233988.61035612595	239321.7264468415
281882.48344458925	286018.4093858304	167735.80594557314	211460.2016277879	128927.24537325394	162828.74816127654	141012.8650360172	147584.72058803422	200782.48434336515	169639.9805217536	233057.4333902168	274933.7929510962	140396.96427476162	159925.00505591388
137557.2930160341	191185.11889353962	96678.67750296454	109297.53096411684	70272.56728376508	111913.43691067657	74826.36925422025	88705.73454737297	187990.55557088155	59998.814164164025	162646.2507817641	137520.26845223724	70602.19970294165	81198.12338197336
64434.393818665536	92561.5062799492	75170.52414524538	51992.131346313116	48808.65685260964	83263.48276759782	44100.85230938946	58914.16634011456	171813.55543173163	41775.788177118724	131832.87577322015	80623.46992737317	56069.48685478151	52448.45651272916
35570.157254549085	62225.273725651175	60051.81427508046	47468.4024359007	46784.09307298373	56077.114893121776	23403.21962950304	44716.098203186084	132027.23727471355	40879.224695526296	63228.057033657205	50380.65158048063	51308.038491561994	48182.91214635632
28390.696442390752	35001.593483439334	50969.120966226634	43409.19666004055	23322.43064486635	55552.204335944334	22469.61223451	32581.12058231742	52523.27787146628	37620.419289503065	44112.872015057226	27677.04318526979	46837.52584097297	48110.30956544632
28390.696442390752	23300.6402608427	40128.987477666386	41167.170090163636	19410.048945566192	49983.005490058116	20538.7014154824	28847.795485365717	33592.79007622569	21905.121176458968	42736.29815374135	25871.03592332548	45326.10640576552	37372.407669248045
25341.80829032046	20156.376212557218	35830.42104356161	39280.45010148944	19293.315923645296	49780.65652747835	19953.913021127068	28295.009598171866	32378.628247731227	14210.642504162091	39334.689666707716	25646.08418242	44614.322985902385	32762.63972486638
24703.87914475477	16762.40165350082	32069.139116581693	38955.69803388818	18854.992465875934	46173.33838106682	19635.65395606897	27972.82915588145	29820.456555031808	11245.899335565093	32944.51565709749	25547.078545327204	41999.87507392495	32358.496800762314
23120.072031357715	13392.890495933498	31075.857146269518	36265.29139635686	18811.540907818893	37635.41505345817	19495.69942093404	27237.432780252348	27564.931504167103	10872.725603959036	30274.81587570064	25391.272637225688	38981.065963125584	27200.393929076152
22284.19292788786	11802.156183311652	30469.43698723705	34326.211167095746	18811.540907818893	15172.264015929411	19495.69942093404	26703.391634511685	27401.646835223433	10808.117230311278	29759.152911052028	24941.085702118937	36689.40026956	23509.977974241727
