1588729.3525184046	939194.7077684251	509804.3115512239	1502410.141007972	782834.1876594715	1213805.543252966	399219.3879420641	1073545.7674051095	476534.7866670679	443536.36885549396	1897714.1267540469	1163212.3447423326	1826577.6807019245
527237.2851507537	561928.3552502797	378987.11953258014	731300.8081190946	301627.10021959216	658618.3583456535	230112.1047671449	323622.5818287713	273698.9096891037	317727.4156346212	1166160.7554707823	348620.72991496185	326273.42571960326
218871.7699440829	404588.825938137	334070.47635389795	442635.8713278512	115348.31541226053	377017.60256733774	135783.20718758053	57026.66978038082	144873.96757272992	129069.585851192	696845.9461209666	270310.5439866307	205116.37209050253
120715.3590722108	160462.69724417312	202064.2774760464	135879.9450798649	19704.07727337401	269219.3261442084	27805.985193436518	45831.18162961575	105574.82469849859	78845.0989337097	159007.4001651284	43684.406113687546	117907.68318997134
36249.64538325023	93343.50477412953	54253.85235165424	90275.07540351656	10039.615155223091	77556.78708938808	10439.255387430188	24391.218770408257	63439.03702419366	38876.826584484304	26406.15749570519	35816.2942464771	30357.52122511821
15395.802375625615	31824.658954366958	23201.233737294377	40128.47698848729	4607.7225430727085	14096.059284869869	1648.8395259956699	7618.2800670681945	20364.41629119682	25836.891470577953	7432.414579048571	20135.601662291887	4036.0491589900653
6425.10326262977	18914.10042740636	8486.09695645913	18429.57359559385	2373.5308869767296	7471.984682494429	663.2022000990833	1938.2394785038116	8392.137398547655	10485.962665507768	3127.0900441096587	8296.103797699663	2820.7415190894317
3901.9751855938207	13011.586151408444	5464.35253353573	5944.050919467973	1044.2434839827583	2430.3503258239675	498.349706878078	957.6573282830867	4089.864923303896	2019.3436363640685	1449.7696242144564	3405.608660017062	1638.2767516478175
2238.072216164036	8103.403269152139	2285.7314833550195	3578.827712598426	583.1008450528734	1057.7616258804123	471.56137192730375	531.2939067043221	1590.6287746890744	1246.468869638928	761.56964336998	1230.0564451978062	1181.0006614975282
1449.8469678333895	4610.331429513283	1163.9591016048525	2456.599321139252	530.5068771877559	677.2848392494989	457.1862575024674	468.5655940617353	885.2866828252637	831.8057308735382	665.4869522783756	821.6552191279933	858.5678595047569
948.6344006499784	3239.053290200778	774.815849422168	1461.0264365332175	503.89431169830186	529.6669936242306	445.86440178214235	442.10567113486536	728.9843066271072	534.7398864955062	591.1329051765006	519.2576986926165	644.8000608475622
702.3528992329158	2000.2260266992466	576.9524763807165	1132.648848812114	500.6537028393275	396.9123309771826	444.4379154793512	424.37752676714445	597.0600559337697	468.11930472059436	562.1240250875492	426.94143293322577	592.0125780721427
614.6758957132653	1085.5636815949974	448.8230080796365	858.8424111081335	500.6513987447349	391.7834699421314	444.4379154790981	420.42899004392325	543.7435067260562	461.7032477331095	552.8383853653277	390.4937540222202	548.0762674499647
565.4953029363452	834.1220303447435	405.7169389364444	637.2760757487467	500.6513987357264	391.77504790211515	444.4379154790981	420.4273925675921	505.44001027317	425.6772578760765	552.8314272174025	363.1857574100427	530.0094819781546
